_id,algoname,clientID,symbol,realised,unrealised,sum,balance
655d79f80bc4ecf4b936e497,DRBS_BN,B1700057,BANKNIFTY30NOV2343600PE,-1224,0,-1224,5000000
655d79f80bc4ecf4b936e498,DOZ_BN,D9550012,BANKNIFTY22NOV2344300CE,0,36,36,3000000
655d79f80bc4ecf4b936e499,DRB_BN,D9550016,BANKNIFTY30NOV2341500PE,0,0,0,1600000
655d79f80bc4ecf4b936e49a,DOZB_BN,B1700057,BANKNIFTY22NOV2343100PE,0,1783.5,1783.5,5000000
655d79f80bc4ecf4b936e49b,DOZ_BN,D9550016,BANKNIFTY22NOV2344300CE,0,36,36,1600000
655d79f80bc4ecf4b936e49c,DOZ_BN,B1700057,BANKNIFTY22NOV2343200PE,0,3423.75,3423.75,5000000
655d79f80bc4ecf4b936e49d,DOZB_BN,B1700057,BANKNIFTY22NOV2344600CE,0,45,45,5000000
655d79fd0bc4ecf4b936e49e,DOZ_BN,B1700057,BANKNIFTY22NOV2344300CE,0,9,9,5000000
655d79fd0bc4ecf4b936e49f,DRB_BN,D8460002,BANKNIFTY30NOV2343500PE,-1095,0,-1095,2700000
655d79fd0bc4ecf4b936e4a0,DOZB_BN,B1700057,BANKNIFTY22NOV2343600CE,0,1545.75,1545.75,5000000
655d79fd0bc4ecf4b936e4a1,DRB_BN,D9550016,BANKNIFTY30NOV2343500PE,-547.5,0,-547.5,1600000
655d79fd0bc4ecf4b936e4a2,DOZ_BN,D9550012,BANKNIFTY22NOV2343600CE,0,6171,6171,3000000
655d79fd0bc4ecf4b936e4a3,DRB_BN,D7730022,BANKNIFTY30NOV2343500PE,-1095,0,-1095,650000
655d79fd0bc4ecf4b936e4a4,DOZ_BN,D9550016,BANKNIFTY22NOV2343600CE,0,6171,6171,1600000
655d79fd0bc4ecf4b936e4a5,DOZ_BN,B1700057,BANKNIFTY22NOV2343600CE,0,1542.75,1542.75,5000000
655d79fd0bc4ecf4b936e4a6,DOZ_BN,D9550012,BANKNIFTY22NOV2343700CE,0,3441,3441,3000000
655d79fd0bc4ecf4b936e4a7,DOZB_BN,B1700057,BANKNIFTY22NOV2343700CE,0,859.5,859.5,5000000
655d79fd0bc4ecf4b936e4a8,DOZB_BN,B1700057,BANKNIFTY22NOV2343800CE,442.5,0,442.5,5000000
655d79fd0bc4ecf4b936e4a9,DOZ_BN,D9550016,BANKNIFTY22NOV2343700CE,0,3438,3438,1600000
655d79fd0bc4ecf4b936e4aa,DOZ_BN,D9550012,BANKNIFTY22NOV2343800CE,1761,0,1761,3000000
655d79fd0bc4ecf4b936e4ab,DOZ_BN,B1700057,BANKNIFTY22NOV2343700CE,0,859.5,859.5,5000000
655d79fd0bc4ecf4b936e4ac,DOZB_BN,B1700057,BANKNIFTY22NOV2343900CE,213.75,0,213.75,5000000
655d79fd0bc4ecf4b936e4ad,DOZ_BN,B1700057,BANKNIFTY22NOV2343800CE,440.25,0,440.25,5000000
655d79fd0bc4ecf4b936e4ae,DOZ_BN,D9550016,BANKNIFTY22NOV2343800CE,1764,0,1764,1600000
655d79fd0bc4ecf4b936e4af,DOZ_BN,D9550012,BANKNIFTY22NOV2343900CE,855,0,855,3000000
655d79fd0bc4ecf4b936e4b0,DOZB_BN,B1700057,BANKNIFTY22NOV2343700PE,0,5489.25,5489.25,5000000
655d79fd0bc4ecf4b936e4b1,DOZ_BN,B1700057,BANKNIFTY22NOV2343900CE,214.5,0,214.5,5000000
655d79fd0bc4ecf4b936e4b2,DOZ_BN,D9550012,BANKNIFTY22NOV2343700PE,-702,0,-702,3000000
655d79fd0bc4ecf4b936e4b3,DOZB_BN,B1700057,BANKNIFTY22NOV2343600PE,-2065.5,0,-2065.5,5000000
655d79fd0bc4ecf4b936e4b4,DOZ_BN,D9550016,BANKNIFTY22NOV2343700PE,-711,0,-711,1600000
655d79fd0bc4ecf4b936e4b5,DOZ_BN,B1700057,BANKNIFTY22NOV2343700PE,-174.75,0,-174.75,5000000
655d79fd0bc4ecf4b936e4b6,DOZ_BN,D9550016,BANKNIFTY22NOV2343600PE,-9009.15,0,-9009.15,1600000
655d79fd0bc4ecf4b936e4b7,DOZ_BN,D9550012,BANKNIFTY22NOV2343600PE,-9259.05,0,-9259.05,3000000
655d79fd0bc4ecf4b936e4b8,DOZB_BN,B1700057,BANKNIFTY22NOV2343500PE,-1594.5,0,-1594.5,5000000
655d79fd0bc4ecf4b936e4b9,DOZ_BN,B1700057,BANKNIFTY22NOV2343600PE,-2303.25,0,-2303.25,5000000
655d79fd0bc4ecf4b936e4ba,DOZB_BN,B1700057,BANKNIFTY22NOV2343400PE,-2005.5,0,-2005.5,5000000
655d79fd0bc4ecf4b936e4bb,DOZ_BN,D9550016,BANKNIFTY22NOV2343500PE,-6426,0,-6426,1600000
655d79fd0bc4ecf4b936e4bc,DOZ_BN,D9550012,BANKNIFTY22NOV2343500PE,-6447,0,-6447,3000000
655d79fd0bc4ecf4b936e4bd,DOZ_BN,B1700057,BANKNIFTY22NOV2343500PE,-1611.75,0,-1611.75,5000000
655d79fd0bc4ecf4b936e4be,DOZ_BN,D9550016,BANKNIFTY22NOV2343400PE,-8067.15,0,-8067.15,1600000
655d79fd0bc4ecf4b936e4bf,DOZ_BN,D9550012,BANKNIFTY22NOV2343400PE,-8049,0,-8049,3000000
655d79fd0bc4ecf4b936e4c0,DOZ_BN,B1700057,BANKNIFTY22NOV2343400PE,-2002.5,0,-2002.5,5000000
655d7a350bc4ecf4b936e4c1,DRB_N,D7730022,NIFTY23NOV2319300PE,5,0,5,650000
655d7a350bc4ecf4b936e4c2,DRB_N,D9550016,NIFTY23NOV2319300PE,5,0,5,1600000
655d7a350bc4ecf4b936e4c3,DRB_N,D8460002,NIFTY23NOV2319300PE,5,0,5,2700000
655d7a350bc4ecf4b936e4c4,DRB_N,D9550016,NIFTY23NOV2319850PE,-590,0,-590,1600000
655d7a350bc4ecf4b936e4c5,DRB_N,D8460002,NIFTY23NOV2319850PE,-562.5,0,-562.5,2700000
655d7a350bc4ecf4b936e4c6,DRB_N,D7730022,NIFTY23NOV2319850PE,-560,0,-560,650000
655d7a460bc4ecf4b936e4c7,zMarginManager_D9550016,D9550016,BANKNIFTY22NOV2344300CE,0,16.5,16.5,1600000
655d7a460bc4ecf4b936e4c8,zMarginManager_D9550016,D9550016,BANKNIFTY22NOV2343200PE,0,5737.5,5737.5,1600000
655d7a5b0bc4ecf4b936e4c9,DOZ_BN,D9550016,BANKNIFTY22NOV2343900CE,882,0,882,1600000
655d7a730bc4ecf4b936e4ca,EmaX_N,B1700057,NIFTY23NOV2319850PE,12.5,0,12.5,5000000
655d7b5d0bc4ecf4b936e4cb,Exp3StatBN,B1700057,BANKNIFTY22NOV2344700CE,4.5,0,4.5,5000000
655d7b620bc4ecf4b936e4cc,Exp3StatBN,B1700057,BANKNIFTY22NOV2343600CE,6837,0,6837,5000000
655d7bed0bc4ecf4b936e4cd,ExpWStdBHLBN,B1700057,BANKNIFTY22NOV2342800PE,36,0,36,5000000
655d7bed0bc4ecf4b936e4ce,ExpWStdBHLBN,D8460002,BANKNIFTY22NOV2342800PE,72,0,72,2700000
655d7bed0bc4ecf4b936e4cf,ExpWStdBHLBN,D9550002,BANKNIFTY22NOV2342800PE,34.5,0,34.5,2400000
655d7bf20bc4ecf4b936e4d0,ExpWStdBHLBN,D8460002,BANKNIFTY22NOV2343500PE,-12131.7,0,-12131.7,2700000
655d7bf20bc4ecf4b936e4d1,ExpWStdBHLBN,D9550002,BANKNIFTY22NOV2343500PE,-6115.5,0,-6115.5,2400000
655d7bf20bc4ecf4b936e4d2,ExpWStdBHLBN,B1700057,BANKNIFTY22NOV2343500PE,-6061.5,0,-6061.5,5000000
655d7c130bc4ecf4b936e4d3,Exp3StatBN,B1700057,BANKNIFTY22NOV2344800CE,3,0,3,5000000
655d7c4d0bc4ecf4b936e4d4,RenkoExpBN,D7730008,BANKNIFTY22NOV2344600CE,0,30,30,2000000
655d7c4d0bc4ecf4b936e4d5,GRB,B1700057,BANKNIFTY30NOV2343800CE,0,1577.25,1577.25,5000000
